url, time, page_size, depth, page_status
https://casinodeps.co.nz/sitemap/, 01:20:20 09/27/2024, 147029, 1, 200
https://casinodeps.co.nz/blog/, 01:20:23 09/27/2024, 104297, 1, 200
https://www.queenstownnz.co.nz/plan/surrounding-region/glenorchy/things-to-do/, 01:20:24 09/27/2024, 289605, 1, 200
https://casinodeps.co.nz/privacy-policy/, 01:20:27 09/27/2024, 105909, 1, 200
https://casinodeps.co.nz/terms/, 01:20:30 09/27/2024, 97674, 1, 200
https://www.anz.co.nz/personal/investing-kiwisaver/, 01:20:32 09/27/2024, 321424, 1, 200
https://www.mpages.co.nz/plugin.php?id=xlwsq_114, 01:20:33 09/27/2024, 2799, 1, 200
https://www.healthpoint.co.nz/useful-information/government-organisations/, 01:20:35 09/27/2024, 10418, 1, 200
https://www.queenstownnz.co.nz/plan/surrounding-region/arrowtown/shopping/, 01:20:35 09/27/2024, 285811, 1, 200
https://casinodeps.co.nz/affiliate-disclosure/, 01:20:38 09/27/2024, 94072, 1, 200
https://casinodeps.co.nz/blog/players-rights-awareness/, 01:20:41 09/27/2024, 109277, 1, 200
https://www.queenstownnz.co.nz/plan/surrounding-region/arrowtown/restaurants-and-bars/, 01:20:42 09/27/2024, 288466, 1, 200
https://casinodeps.co.nz/testimonials/, 01:20:45 09/27/2024, 97363, 1, 200
https://casinodeps.co.nz/responsible-gambling/, 01:20:48 09/27/2024, 128109, 1, 200
https://www.healthpoint.co.nz/hauora-wellbeing/, 01:20:50 09/27/2024, 9424, 1, 200
https://www.queenstownnz.co.nz/plan/surrounding-region/arrowtown/accommodation/, 01:20:50 09/27/2024, 287913, 1, 200
https://casinodeps.co.nz/careers/, 01:20:53 09/27/2024, 98630, 1, 200
https://casinodeps.co.nz/contacts/, 01:20:56 09/27/2024, 100465, 1, 200
https://www.queenstownnz.co.nz/plan/surrounding-region/arrowtown/things-to-do/, 01:20:56 09/27/2024, 286492, 1, 200
https://casinodeps.co.nz/how-we-rate/, 01:20:59 09/27/2024, 119938, 1, 200
https://casinodeps.co.nz/quiz/, 01:21:02 09/27/2024, 84610, 1, 200
https://www.anz.co.nz/institutional/online-services/, 01:21:04 09/27/2024, 298949, 1, 200
https://www.healthpoint.co.nz/medicines/, 01:21:06 09/27/2024, 9411, 1, 200
https://www.queenstownnz.co.nz/stories/, 01:21:06 09/27/2024, 215711, 1, 200
https://www.casinodeps.co.nz/reviews/christchurch-online-casino/, 01:21:10 09/27/2024, 108023, 1, 200
